Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
135495;Soest, GG Wiese;BR Arnsberg;Kreis Soest;Soest;2
135501;Soest, KG Bruno;BR Arnsberg;Kreis Soest;Soest;3
135513;Welver, GG Borgeln;BR Arnsberg;Kreis Soest;Welver;1
135525;Welver, GG Bernhard-Honkamp-Schule;BR Arnsberg;Kreis Soest;Welver;2
135537;Werl, KG Walburgisschule;BR Arnsberg;Kreis Soest;Werl;4
135549;Werl, KG St.Josef-Schule;BR Arnsberg;Kreis Soest;Werl;1
135550;Werl, KG Marienschule;BR Arnsberg;Kreis Soest;Werl;1
135562;Werl, KG Petrischule;BR Arnsberg;Kreis Soest;Werl;6
135586;Wickede, GG Melanchthonschule;BR Arnsberg;Kreis Soest;Wickede (Ruhr);2
135598;Wickede, GG Engelhardschule;BR Arnsberg;Kreis Soest;Wickede (Ruhr);3
135604;Kamen, GG Eichendorff;BR Arnsberg;Kreis Unna;Kamen;3
135616;Kamen, GG Diesterweg;BR Arnsberg;Kreis Unna;Kamen;4
135630;Kamen, GG (Verb.) Südschule;BR Arnsberg;Kreis Unna;Kamen;3
135653;Kamen, GG Astrid-Lindgren-Schule;BR Arnsberg;Kreis Unna;Kamen;3
135665;Kamen, GG Friedrich-Ebert;BR Arnsberg;Kreis Unna;Kamen;6
135677;Kamen, GG Jahn;BR Arnsberg;Kreis Unna;Kamen;2
135690;Unna, GG Lünern;BR Arnsberg;Kreis Unna;Unna;1
135707;Unna, GG Hemmerde;BR Arnsberg;Kreis Unna;Unna;1
135720;Unna, GG Sonnenschule;BR Arnsberg;Kreis Unna;Unna;1
135732;Unna, GG Schillerschule;BR Arnsberg;Kreis Unna;Unna;2
135744;Unna, GG Grilloschule;BR Arnsberg;Kreis Unna;Unna;4
135756;Unna, KG Katharinenschule;BR Arnsberg;Kreis Unna;Unna;3
135768;Unna, GG am Friedrichsborn;BR Arnsberg;Kreis Unna;Unna;6
135781;Unna, GG Osterfeldschule;BR Arnsberg;Kreis Unna;Unna;1
135793;Bergkamen, GG Gerhart-Hauptmann-Schule;BR Arnsberg;Kreis Unna;Bergkamen;7
135823;Bergkamen, GG Schiller;BR Arnsberg;Kreis Unna;Bergkamen;2
135835;Bergkamen, GG Freiherr-von-Ketteler;BR Arnsberg;Kreis Unna;Bergkamen;1
135847;Bergkamen, GG Preinschule;BR Arnsberg;Kreis Unna;Bergkamen;4
